date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_sum,away_sum,year,home_win,home_draw,home_lose
2018.7.22,Liberia,Sierra Leone,Africa,Africa,151,113,1126,1373,0,0,Friendly,Monrovia,Liberia,FALSE,No,Draw,,,,,,,70,,,70,2018,FALSE,TRUE,FALSE
2018.8.4,Belize,Barbados,North America,North America,163,162,1052,1059,1,0,Friendly,San Pedro,Belize,FALSE,No,Win,,,,,,,,,,,2018,TRUE,FALSE,FALSE
2018.8.4,Palestine,Iraq,Asia,Asia,101,84,1449,1534,0,3,Friendly,Al-Ram,Palestine,FALSE,No,Lose,,,,,,,,69.5,,69.5,2018,FALSE,FALSE,TRUE
2018.8.15,Guatemala,Cuba,North America,North America,133,168,1263,1018,3,0,Friendly,Guatemala City,Guatemala,FALSE,No,Win,72,,,,,,,,72,,2018,TRUE,FALSE,FALSE
2018.8.18,Andorra,United Arab Emirates,Europe,Asia,130,77,1120,1312,0,0,Friendly,Grödig,Austria,TRUE,No,Draw,,,,,,,,,,,2018,FALSE,TRUE,FALSE
2018.8.18,Grenada,Jamaica,North America,North America,168,54,980,1400,1,5,Friendly,St. George's,Grenada,FALSE,No,Lose,,73,,,,72.8,68.7,71.8,,286.3,2018,FALSE,FALSE,TRUE
2018.8.18,Guatemala,Cuba,North America,North America,146,181,1064,940,1,0,Friendly,Quetzaltenango,Guatemala,FALSE,No,Win,72,,,,,,,,72,,2018,TRUE,FALSE,FALSE
2018.8.20,Barbados,Jamaica,North America,North America,160,54,1005,1400,2,2,Friendly,Bridgetown,Barbados,FALSE,No,Draw,,73,,,,72.8,68.7,71.8,,286.3,2018,FALSE,TRUE,FALSE
2018.8.26,Barbados,Cuba,North America,North America,160,181,1005,940,0,0,Friendly,Bridgetown,Barbados,FALSE,No,Draw,,,,,,,,,,,2018,FALSE,TRUE,FALSE
2018.8.29,Bangladesh,Sri Lanka,Asia,Asia,194,200,904,888,0,1,Friendly,Nilphamari Sadar,Bangladesh,FALSE,No,Lose,,,,,,,,,,,2018,FALSE,FALSE,TRUE
2018.8.29,Barbados,Cuba,North America,North America,160,181,1005,940,0,2,Friendly,Bridgetown,Barbados,FALSE,No,Lose,,,,,,,,,,,2018,FALSE,FALSE,TRUE
2018.8.29,Macau,Solomon Islands,Asia,Oceania,185,143,924,1072,1,4,Friendly,Taipa,Macau,FALSE,No,Lose,,,,,,,,,,,2018,FALSE,FALSE,TRUE
2018.9.1,Timor-Leste,Brunei Darussalam,Asia,Asia,190,195,912,900,3,1,AFF Championship qualification,Kuala Lumpur,Malaysia,TRUE,No,Win,,,,,,,,,,,2018,TRUE,FALSE,FALSE
2018.9.2,Ethiopia,Burundi,Africa,Africa,151,148,1044,1056,1,1,Friendly,Hawassa,Ethiopia,FALSE,No,Draw,,,,,,,,,,,2018,FALSE,TRUE,FALSE
2018.9.2,Mongolia,Macau,Asia,Asia,186,185,920,924,4,1,EAFF Championship,Ulaanbaatar,Mongolia,FALSE,No,Win,,,,,,,,,,,2018,TRUE,FALSE,FALSE
2018.9.4,Macau,Guam,Asia,Asia,185,190,924,912,2,0,EAFF Championship,Ulaanbaatar,Mongolia,TRUE,No,Win,,,,,,,,,,,2018,TRUE,FALSE,FALSE
2018.9.4,Nepal,Pakistan,Asia,Asia,161,201,1004,884,1,2,SAFF Cup,Dhaka,Bangladesh,TRUE,No,Lose,,,,,,,,,,,2018,FALSE,FALSE,TRUE
2018.9.4,Bangladesh,Bhutan,Asia,Asia,194,183,904,932,2,0,SAFF Cup,Dhaka,Bangladesh,FALSE,No,Win,,,,,,,,,,,2018,TRUE,FALSE,FALSE
2018.9.5,Fiji,Solomon Islands,Oceania,Oceania,165,143,985,1072,1,1,Friendly,Suva,Fiji,FALSE,No,Draw,,,,,,,,,,,2018,FALSE,TRUE,FALSE
2018.9.5,Slovakia,Denmark,Europe,Europe,26,9,1493,1580,3,0,Friendly,Trnava,Slovakia,FALSE,No,Win,77,83,78.5,65.3,79.8,78,76,82,300.6,319,2018,TRUE,FALSE,FALSE
2018.9.5,India,Sri Lanka,Asia,Asia,96,200,1242,888,2,0,SAFF Cup,Dhaka,Bangladesh,TRUE,No,Win,63,,62,63.7,60,,,,248.7,,2018,TRUE,FALSE,FALSE
2018.9.6,Germany,France,Europe,Europe,15,1,1561,1726,0,0,UEFA Nations League,Munich,Germany,FALSE,No,Draw,90,87,83,87,85,83,88,80,345,338,2018,FALSE,TRUE,FALSE
2018.9.6,Czech Republic,Ukraine,Europe,Europe,44,35,1430,1468,1,2,UEFA Nations League,Uherské Hradišt_,Czech Republic,FALSE,No,Lose,82,78,77,75.7,76.5,77,75.3,80.2,311.2,310.5,2018,FALSE,FALSE,TRUE
2018.9.6,Wales,Republic of Ireland,Europe,Europe,19,29,1536,1484,4,1,UEFA Nations League,Cardiff,Wales,FALSE,No,Win,74,75,74,77,72,77.2,72.3,75.8,297,300.3,2018,TRUE,FALSE,FALSE
2018.9.6,Norway,Cyprus,Europe,Europe,53,87,1406,1280,2,0,UEFA Nations League,Oslo,Norway,FALSE,No,Win,82,,74.5,75.7,76.5,67.8,,,308.7,67.8,2018,TRUE,FALSE,FALSE
2018.9.6,Slovenia,Bulgaria,Europe,Europe,55,47,1392,1416,1,2,UEFA Nations League,Ljubljana,Slovenia,FALSE,No,Lose,90,74,74.2,76.3,79.2,68.2,70.3,73,319.7,285.5,2018,FALSE,FALSE,TRUE
2018.9.6,Kazakhstan,Georgia,Europe,Europe,116,96,1167,1242,0,2,UEFA Nations League,Astana,Kazakhstan,FALSE,No,Lose,,71,,,,73.2,70,72.2,,286.4,2018,FALSE,FALSE,TRUE
